Token: MAIN, Tipo: main, Línea: 1, Columna: 1
Token: OPEN_PAREN, Tipo: Sin tipo, Línea: 1, Columna: 10
Token: CLOSE_PAREN, Tipo: Sin tipo, Línea: 1, Columna: 21
Token: OPEN_BLOCK, Tipo: Sin tipo, Línea: 3, Columna: 1
Token: INTEGER, Tipo: int, Línea: 5, Columna: 5
Token: IDENTIFIER, Tipo: variable, Línea: 5, Columna: 13
Token: ASSIGN, Tipo: Sin tipo, Línea: 5, Columna: 20
Token: INT_LITERAL, Tipo: Sin tipo, Línea: 5, Columna: 28
Token: END_STATEMENT, Tipo: Sin tipo, Línea: 5, Columna: 30
Token: IDENTIFIER, Tipo: variable, Línea: 6, Columna: 5
Token: ASSIGN, Tipo: Sin tipo, Línea: 6, Columna: 12
Token: INT_LITERAL, Tipo: Sin tipo, Línea: 6, Columna: 20
Token: END_STATEMENT, Tipo: Sin tipo, Línea: 6, Columna: 23
Token: IF, Tipo: Sin tipo, Línea: 8, Columna: 5
Token: OPEN_PAREN, Tipo: Sin tipo, Línea: 8, Columna: 10
Token: IDENTIFIER, Tipo: variable, Línea: 8, Columna: 21
Token: LESS_THAN, Tipo: Sin tipo, Línea: 8, Columna: 28
Token: INT_LITERAL, Tipo: Sin tipo, Línea: 8, Columna: 37
Token: CLOSE_PAREN, Tipo: Sin tipo, Línea: 8, Columna: 40
Token: OPEN_BLOCK, Tipo: Sin tipo, Línea: 9, Columna: 5
Token: PRINT, Tipo: Sin tipo, Línea: 10, Columna: 9
Token: OPEN_PAREN, Tipo: Sin tipo, Línea: 10, Columna: 15
Token: STRING_LITERAL, Tipo: Sin tipo, Línea: 10, Columna: 26
Token: CLOSE_PAREN, Tipo: Sin tipo, Línea: 10, Columna: 49
Token: END_STATEMENT, Tipo: Sin tipo, Línea: 10, Columna: 62
Token: CLOSE_BLOCK, Tipo: Sin tipo, Línea: 11, Columna: 5
Token: ELSE, Tipo: Sin tipo, Línea: 12, Columna: 5
Token: OPEN_BLOCK, Tipo: Sin tipo, Línea: 13, Columna: 5
Token: PRINT, Tipo: Sin tipo, Línea: 14, Columna: 9
Token: OPEN_PAREN, Tipo: Sin tipo, Línea: 14, Columna: 15
Token: STRING_LITERAL, Tipo: Sin tipo, Línea: 14, Columna: 26
Token: CLOSE_PAREN, Tipo: Sin tipo, Línea: 14, Columna: 49
Token: END_STATEMENT, Tipo: Sin tipo, Línea: 14, Columna: 62
Token: CLOSE_BLOCK, Tipo: Sin tipo, Línea: 15, Columna: 5
Token: CLOSE_BLOCK, Tipo: Sin tipo, Línea: 17, Columna: 1
El archivo es válido según la gramática definida.
