Símbolo: MAIN, Valor: null, Tipo: main, Línea: 1, Columna: 1
Símbolo: OPEN_PAREN, Valor: null, Tipo: Sin tipo, Línea: 1, Columna: 10
Símbolo: CLOSE_PAREN, Valor: null, Tipo: Sin tipo, Línea: 1, Columna: 21
Símbolo: OPEN_BLOCK, Valor: null, Tipo: Sin tipo, Línea: 3, Columna: 1
Símbolo: INTEGER, Valor: null, Tipo: int, Línea: 5, Columna: 5
Símbolo: IDENTIFIER, Valor: _edad_, Tipo: variable, Línea: 5, Columna: 13
Símbolo: ASSIGN, Valor: null, Tipo: Sin tipo, Línea: 5, Columna: 20
Símbolo: INT_LITERAL, Valor: 0, Tipo: Sin tipo, Línea: 5, Columna: 28
Símbolo: END_STATEMENT, Valor: null, Tipo: Sin tipo, Línea: 5, Columna: 30
Símbolo: IDENTIFIER, Valor: _edad_, Tipo: variable, Línea: 6, Columna: 5
Símbolo: ASSIGN, Valor: null, Tipo: Sin tipo, Línea: 6, Columna: 12
Símbolo: INT_LITERAL, Valor: 25, Tipo: Sin tipo, Línea: 6, Columna: 20
Símbolo: END_STATEMENT, Valor: null, Tipo: Sin tipo, Línea: 6, Columna: 23
Símbolo: IF, Valor: null, Tipo: Sin tipo, Línea: 8, Columna: 5
Símbolo: OPEN_PAREN, Valor: null, Tipo: Sin tipo, Línea: 8, Columna: 10
Símbolo: IDENTIFIER, Valor: _edad_, Tipo: variable, Línea: 8, Columna: 21
Símbolo: LESS_THAN, Valor: null, Tipo: Sin tipo, Línea: 8, Columna: 28
Símbolo: INT_LITERAL, Valor: 30, Tipo: Sin tipo, Línea: 8, Columna: 37
Símbolo: CLOSE_PAREN, Valor: null, Tipo: Sin tipo, Línea: 8, Columna: 40
Símbolo: OPEN_BLOCK, Valor: null, Tipo: Sin tipo, Línea: 9, Columna: 5
Símbolo: PRINT, Valor: null, Tipo: Sin tipo, Línea: 10, Columna: 9
Símbolo: OPEN_PAREN, Valor: null, Tipo: Sin tipo, Línea: 10, Columna: 15
Símbolo: STRING_LITERAL, Valor: Es menor de 30 años., Tipo: Sin tipo, Línea: 10, Columna: 26
Símbolo: CLOSE_PAREN, Valor: null, Tipo: Sin tipo, Línea: 10, Columna: 49
Símbolo: END_STATEMENT, Valor: null, Tipo: Sin tipo, Línea: 10, Columna: 62
Símbolo: CLOSE_BLOCK, Valor: null, Tipo: Sin tipo, Línea: 11, Columna: 5
Símbolo: ELSE, Valor: null, Tipo: Sin tipo, Línea: 12, Columna: 5
Símbolo: OPEN_BLOCK, Valor: null, Tipo: Sin tipo, Línea: 13, Columna: 5
Símbolo: PRINT, Valor: null, Tipo: Sin tipo, Línea: 14, Columna: 9
Símbolo: OPEN_PAREN, Valor: null, Tipo: Sin tipo, Línea: 14, Columna: 15
Símbolo: STRING_LITERAL, Valor: Tiene 30 años o más., Tipo: Sin tipo, Línea: 14, Columna: 26
Símbolo: CLOSE_PAREN, Valor: null, Tipo: Sin tipo, Línea: 14, Columna: 49
Símbolo: END_STATEMENT, Valor: null, Tipo: Sin tipo, Línea: 14, Columna: 62
Símbolo: CLOSE_BLOCK, Valor: null, Tipo: Sin tipo, Línea: 15, Columna: 5
Símbolo: CLOSE_BLOCK, Valor: null, Tipo: Sin tipo, Línea: 17, Columna: 1
